date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:19	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:18%20GMT	https://unitlondon.com/content/feature/1980/detail/image9233/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9233/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:20	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:19%20GMT	https://unitlondon.com/content/feature/1980/detail/image9281/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9281/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:20	64242/64242	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:19%20GMT	https://unitlondon.com/content/feature/1393/detail/artworks9369/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1393/detail/artworks9369/index.html	(from https://unitlondon.com/artists/385-suchitra-mattai/)
14:58:20	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:20%20GMT	https://unitlondon.com/content/feature/1980/detail/image9282/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9282/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:20	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:20%20GMT	https://unitlondon.com/content/feature/1980/detail/image9228/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9228/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:20	161757/161757	---M--	200	added ('OK')	image/jpeg	etag:%225b775646262411158c403d73457111b5%22	https://artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto:good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3821.jpg	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto_good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3821.jpg	(from https://unitlondon.com/artists/228-jeremy-olson/)
14:58:21	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:20%20GMT	https://unitlondon.com/content/feature/1980/detail/image9234/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9234/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:21	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:21%20GMT	https://unitlondon.com/content/feature/1980/detail/image9235/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9235/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:23	61750/61750	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:21%20GMT	https://unitlondon.com/content/feature/1980/detail/image9283/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9283/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:23	177104/177104	---M--	200	added ('OK')	image/jpeg	etag:%228bee2b524c03f963d1944d1532c4f9fe%22	https://artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto:good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3896.jpg	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto_good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3896.jpg	(from https://unitlondon.com/artists/228-jeremy-olson/)
14:58:23	61691/61691	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:21%20GMT	https://unitlondon.com/content/feature/1980/detail/image9236/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1980/detail/image9236/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:23	62819/62819	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:22%20GMT	https://unitlondon.com/content/feature/1977/detail/artworks9562/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1977/detail/artworks9562/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:24	63092/63092	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:23%20GMT	https://unitlondon.com/content/feature/1977/detail/artworks9685/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1977/detail/artworks9685/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:25	208550/208550	---M--	200	added ('OK')	image/jpeg	etag:%22b783fda83f1505b82331507da4836eaf%22	https://artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto:good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3842.jpg	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/artlogic-res.cloudinary.com/w_2000,h_1230,c_limit,f_auto,fl_lossy,q_auto_good/ws-unitlondon3/usr/exhibitions/images/feature_panels/1065/_dsc3842.jpg	(from https://unitlondon.com/artists/228-jeremy-olson/)
14:58:27	63155/63155	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:24%20GMT	https://unitlondon.com/content/feature/1977/detail/artworks9682/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1977/detail/artworks9682/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:27	63155/63155	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:24%20GMT	https://unitlondon.com/content/feature/1977/detail/artworks9683/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1977/detail/artworks9683/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
14:58:27	63169/63169	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2007:58:24%20GMT	https://unitlondon.com/content/feature/1977/detail/artworks9684/	C:/Users/Dhimas%20Qamariel/Documents/Coding/Coding/unitlondon/unitlondon.com/content/feature/1977/detail/artworks9684/index.html	(from https://unitlondon.com/artists/445-tyler-hobbs/)
